key,version_id,last_modified,md_exists,status_completed,tox_data_exists,core_required,core_status,core_error,core_duration_seconds,document_version_id,tox_required,tox_status,tox_error,tox_duration_seconds,tox_source_document_id,tox_study_id
"filynai.com/Lpathomab/Module 4 Nonclinical Study Reports/4.2 Study Reports/4.2.1 Pharmacology/4.2.1.1 Primary Pharmacodynamics/Cell based activity of anti-LPA antibodies, B3 and LT3114.pdf",h1MZbXMFSDOI6IKLeSG1V5_Rx71m2EP8,2025-11-19T02:57:21+00:00,False,False,False,True,failed,"InternalError: (psycopg2.errors.InFailedSqlTransaction) current transaction is aborted, commands ignored until end of transaction block

[SQL: 
                INSERT INTO document_ingestion_status (
                    s3_bucket, s3_key, s3_version_id,
                    content_hash, status, document_version_id, error_message
                )
                VALUES (%(bucket)s, %(key)s, %(version_id)s, %(hash)s, %(status)s, %(dvid)s, %(err)s)
                ON CONFLICT (s3_bucket, s3_key, content_hash)
                DO UPDATE SET
                    status = EXCLUDED.status,
                    document_version_id = COALESCE(EXCLUDED.document_version_id, document_ingestion_status.document_version_id),
                    error_message = EXCLUDED.error_message,
                    updated_at = now()
                RETURNING id, status, document_version_id
                ]
[parameters: {'bucket': 'doc-repository-dev', 'key': 'filynai.com/Lpathomab/Module 4 Nonclinical Study Reports/4.2 Study Reports/4.2.1 Pharmacology/4.2.1.1 Primary Pharmacodynamics/Cell based activity of anti-LPA antibodies, B3 and LT3114.pdf', 'version_id': 'h1MZbXMFSDOI6IKLeSG1V5_Rx71m2EP8', 'hash': '6b4e2e06b68e25e96a4169b2cd237b6a756b99611759b7e200197e2fc1d70ba8', 'status': 'failed', 'dvid': None, 'err': 'IntegrityError: (psycopg2.errors.NotNullViolation) null value in column ""content"" of relation ""documents"" violates not-null constraint\nDETAIL:  Fail ... (448 characters truncated) ... 09f70\', \'title\': \'Cell based activity of anti-LPA antibodies, B3 and LT3114.pdf\'}]\n(Background on this error at: https://sqlalche.me/e/20/gkpj)'}]
(Background on this error at: https://sqlalche.me/e/20/2j85)",1.2,,True,failed,ResourceClosedError: This result object does not return rows. It has been closed automatically.,1.191,,
filynai.com/Lpathomab/Module 4 Nonclinical Study Reports/4.2 Study Reports/4.2.1 Pharmacology/4.2.1.1 Primary Pharmacodynamics/Comparison of the binding of anti-LPA antibodies to other lipid molecules (cross-reactivity).pdf,6O_e6aQj97KtEUr4DheHWXXRKlU1WlhT,2025-11-19T02:57:20+00:00,False,False,False,True,failed,"InternalError: (psycopg2.errors.InFailedSqlTransaction) current transaction is aborted, commands ignored until end of transaction block

[SQL: 
                INSERT INTO document_ingestion_status (
                    s3_bucket, s3_key, s3_version_id,
                    content_hash, status, document_version_id, error_message
                )
                VALUES (%(bucket)s, %(key)s, %(version_id)s, %(hash)s, %(status)s, %(dvid)s, %(err)s)
                ON CONFLICT (s3_bucket, s3_key, content_hash)
                DO UPDATE SET
                    status = EXCLUDED.status,
                    document_version_id = COALESCE(EXCLUDED.document_version_id, document_ingestion_status.document_version_id),
                    error_message = EXCLUDED.error_message,
                    updated_at = now()
                RETURNING id, status, document_version_id
                ]
[parameters: {'bucket': 'doc-repository-dev', 'key': 'filynai.com/Lpathomab/Module 4 Nonclinical Study Reports/4.2 Study Reports/4.2.1 Pharmacology/4.2.1.1 Primary Pharmacodynamics/Comparison of the binding of anti-LPA antibodies to other lipid molecules (cross-reactivity).pdf', 'version_id': '6O_e6aQj97KtEUr4DheHWXXRKlU1WlhT', 'hash': 'f17e90c4f58cba6ba531bb3c6f8087508a00cf3bc9d1f8324b86452ab4ef99ec', 'status': 'failed', 'dvid': None, 'err': 'IntegrityError: (psycopg2.errors.NotNullViolation) null value in column ""content"" of relation ""documents"" violates not-null constraint\nDETAIL:  Fail ... (489 characters truncated) ...  the binding of anti-LPA antibodies to other lipid molecules (cross-reactivity).pdf\'}]\n(Background on this error at: https://sqlalche.me/e/20/gkpj)'}]
(Background on this error at: https://sqlalche.me/e/20/2j85)",0.944,,True,failed,ResourceClosedError: This result object does not return rows. It has been closed automatically.,1.014,,
filynai.com/Lpathomab/Module 4 Nonclinical Study Reports/4.2 Study Reports/4.2.1 Pharmacology/4.2.1.1 Primary Pharmacodynamics/Direct and Competitive Binding of anti-LPA antibodies B3 and LT3114.pdf,Zebq80R_ZKAmUQoSshyVP43Gi6YPdgNa,2025-11-19T02:57:21+00:00,False,False,False,True,failed,"InternalError: (psycopg2.errors.InFailedSqlTransaction) current transaction is aborted, commands ignored until end of transaction block

[SQL: 
                INSERT INTO document_ingestion_status (
                    s3_bucket, s3_key, s3_version_id,
                    content_hash, status, document_version_id, error_message
                )
                VALUES (%(bucket)s, %(key)s, %(version_id)s, %(hash)s, %(status)s, %(dvid)s, %(err)s)
                ON CONFLICT (s3_bucket, s3_key, content_hash)
                DO UPDATE SET
                    status = EXCLUDED.status,
                    document_version_id = COALESCE(EXCLUDED.document_version_id, document_ingestion_status.document_version_id),
                    error_message = EXCLUDED.error_message,
                    updated_at = now()
                RETURNING id, status, document_version_id
                ]
[parameters: {'bucket': 'doc-repository-dev', 'key': 'filynai.com/Lpathomab/Module 4 Nonclinical Study Reports/4.2 Study Reports/4.2.1 Pharmacology/4.2.1.1 Primary Pharmacodynamics/Direct and Competitive Binding of anti-LPA antibodies B3 and LT3114.pdf', 'version_id': 'Zebq80R_ZKAmUQoSshyVP43Gi6YPdgNa', 'hash': '1b7c5c51889b555d30bc6b3a41bcb0f7c659153f65c8cee55c44e94eea9244ef', 'status': 'failed', 'dvid': None, 'err': 'IntegrityError: (psycopg2.errors.NotNullViolation) null value in column ""content"" of relation ""documents"" violates not-null constraint\nDETAIL:  Fail ... (464 characters truncated) ... 'title\': \'Direct and Competitive Binding of anti-LPA antibodies B3 and LT3114.pdf\'}]\n(Background on this error at: https://sqlalche.me/e/20/gkpj)'}]
(Background on this error at: https://sqlalche.me/e/20/2j85)",0.992,,True,failed,ResourceClosedError: This result object does not return rows. It has been closed automatically.,0.539,,
filynai.com/Lpathomab/Module 4 Nonclinical Study Reports/4.2 Study Reports/4.2.1 Pharmacology/4.2.1.1 Primary Pharmacodynamics/Dose-Response Efficacy of Test Compound in a Therapeutic Model of Diabetes-Induced Neuropathic Pain.pdf,LXwNtxJdC.qQc.95O0eJhrqZlZGgLXTE,2025-11-19T02:57:19+00:00,False,False,False,True,failed,"InternalError: (psycopg2.errors.InFailedSqlTransaction) current transaction is aborted, commands ignored until end of transaction block

[SQL: 
                INSERT INTO document_ingestion_status (
                    s3_bucket, s3_key, s3_version_id,
                    content_hash, status, document_version_id, error_message
                )
                VALUES (%(bucket)s, %(key)s, %(version_id)s, %(hash)s, %(status)s, %(dvid)s, %(err)s)
                ON CONFLICT (s3_bucket, s3_key, content_hash)
                DO UPDATE SET
                    status = EXCLUDED.status,
                    document_version_id = COALESCE(EXCLUDED.document_version_id, document_ingestion_status.document_version_id),
                    error_message = EXCLUDED.error_message,
                    updated_at = now()
                RETURNING id, status, document_version_id
                ]
[parameters: {'bucket': 'doc-repository-dev', 'key': 'filynai.com/Lpathomab/Module 4 Nonclinical Study Reports/4.2 Study Reports/4.2.1 Pharmacology/4.2.1.1 Primary Pharmacodynamics/Dose-Response Efficacy of Test Compound in a Therapeutic Model of Diabetes-Induced Neuropathic Pain.pdf', 'version_id': 'LXwNtxJdC.qQc.95O0eJhrqZlZGgLXTE', 'hash': 'b05ea3953de317bb8f6e9d431da3c061925fd48f987b1c16b84082fe9135be37', 'status': 'failed', 'dvid': None, 'err': 'IntegrityError: (psycopg2.errors.NotNullViolation) null value in column ""content"" of relation ""documents"" violates not-null constraint\nDETAIL:  Fail ... (496 characters truncated) ... cy of Test Compound in a Therapeutic Model of Diabetes-Induced Neuropathic Pain.pdf\'}]\n(Background on this error at: https://sqlalche.me/e/20/gkpj)'}]
(Background on this error at: https://sqlalche.me/e/20/2j85)",0.838,,True,failed,ResourceClosedError: This result object does not return rows. It has been closed automatically.,0.697,,
filynai.com/Lpathomab/Module 4 Nonclinical Study Reports/4.2 Study Reports/4.2.1 Pharmacology/4.2.1.1 Primary Pharmacodynamics/Efficacy of B3 antibody in a mouse model of Collagen Antibody Induced Arthritis (CAIA).pdf,8ApKEDRG5GWpZiKVVNB9qugeoXmsmpK2,2025-11-19T02:57:41+00:00,False,False,False,True,failed,"InternalError: (psycopg2.errors.InFailedSqlTransaction) current transaction is aborted, commands ignored until end of transaction block

[SQL: 
                INSERT INTO document_ingestion_status (
                    s3_bucket, s3_key, s3_version_id,
                    content_hash, status, document_version_id, error_message
                )
                VALUES (%(bucket)s, %(key)s, %(version_id)s, %(hash)s, %(status)s, %(dvid)s, %(err)s)
                ON CONFLICT (s3_bucket, s3_key, content_hash)
                DO UPDATE SET
                    status = EXCLUDED.status,
                    document_version_id = COALESCE(EXCLUDED.document_version_id, document_ingestion_status.document_version_id),
                    error_message = EXCLUDED.error_message,
                    updated_at = now()
                RETURNING id, status, document_version_id
                ]
[parameters: {'bucket': 'doc-repository-dev', 'key': 'filynai.com/Lpathomab/Module 4 Nonclinical Study Reports/4.2 Study Reports/4.2.1 Pharmacology/4.2.1.1 Primary Pharmacodynamics/Efficacy of B3 antibody in a mouse model of Collagen Antibody Induced Arthritis (CAIA).pdf', 'version_id': '8ApKEDRG5GWpZiKVVNB9qugeoXmsmpK2', 'hash': 'db06292084ee44fd814f9474980a3cd8fb62ad9df0063ed130cff021f3d687f1', 'status': 'failed', 'dvid': None, 'err': 'IntegrityError: (psycopg2.errors.NotNullViolation) null value in column ""content"" of relation ""documents"" violates not-null constraint\nDETAIL:  Fail ... (483 characters truncated) ... y of B3 antibody in a mouse model of Collagen Antibody Induced Arthritis (CAIA).pdf\'}]\n(Background on this error at: https://sqlalche.me/e/20/gkpj)'}]
(Background on this error at: https://sqlalche.me/e/20/2j85)",0.846,,True,failed,ResourceClosedError: This result object does not return rows. It has been closed automatically.,1.197,,
filynai.com/Lpathomab/Module 4 Nonclinical Study Reports/4.2 Study Reports/4.2.1 Pharmacology/4.2.1.1 Primary Pharmacodynamics/Efficacy of IV 504B3 on Primary Hyperalgesia in the Brennan Model of Post-Incisional Pain in Rats (non-GLP).pdf,KOBkHLBTgXfMVwR_nXhLCa3dTFwitoUd,2025-11-19T02:57:22+00:00,False,False,False,True,failed,"InternalError: (psycopg2.errors.InFailedSqlTransaction) current transaction is aborted, commands ignored until end of transaction block

[SQL: 
                INSERT INTO document_ingestion_status (
                    s3_bucket, s3_key, s3_version_id,
                    content_hash, status, document_version_id, error_message
                )
                VALUES (%(bucket)s, %(key)s, %(version_id)s, %(hash)s, %(status)s, %(dvid)s, %(err)s)
                ON CONFLICT (s3_bucket, s3_key, content_hash)
                DO UPDATE SET
                    status = EXCLUDED.status,
                    document_version_id = COALESCE(EXCLUDED.document_version_id, document_ingestion_status.document_version_id),
                    error_message = EXCLUDED.error_message,
                    updated_at = now()
                RETURNING id, status, document_version_id
                ]
[parameters: {'bucket': 'doc-repository-dev', 'key': 'filynai.com/Lpathomab/Module 4 Nonclinical Study Reports/4.2 Study Reports/4.2.1 Pharmacology/4.2.1.1 Primary Pharmacodynamics/Efficacy of IV 504B3 on Primary Hyperalgesia in the Brennan Model of Post-Incisional Pain in Rats (non-GLP).pdf', 'version_id': 'KOBkHLBTgXfMVwR_nXhLCa3dTFwitoUd', 'hash': '4cfc3caf1b307dffebfadc281130dcb433fccf329206a64172a678866df3710c', 'status': 'failed', 'dvid': None, 'err': 'IntegrityError: (psycopg2.errors.NotNullViolation) null value in column ""content"" of relation ""documents"" violates not-null constraint\nDETAIL:  Fail ... (504 characters truncated) ... ary Hyperalgesia in the Brennan Model of Post-Incisional Pain in Rats (non-GLP).pdf\'}]\n(Background on this error at: https://sqlalche.me/e/20/gkpj)'}]
(Background on this error at: https://sqlalche.me/e/20/2j85)",1.469,,True,failed,ResourceClosedError: This result object does not return rows. It has been closed automatically.,1.249,,
filynai.com/Lpathomab/Module 4 Nonclinical Study Reports/4.2 Study Reports/4.2.1 Pharmacology/4.2.1.1 Primary Pharmacodynamics/Efficacy of anti-LPA mAbs B3 and LT3114 in a rat model of acute inflammatory pain.pdf,BXQlAMRsgnPXvD_yJ4fzKl5cSdXG7.6C,2025-11-19T02:57:49+00:00,False,False,False,True,failed,"InternalError: (psycopg2.errors.InFailedSqlTransaction) current transaction is aborted, commands ignored until end of transaction block

[SQL: 
                INSERT INTO document_ingestion_status (
                    s3_bucket, s3_key, s3_version_id,
                    content_hash, status, document_version_id, error_message
                )
                VALUES (%(bucket)s, %(key)s, %(version_id)s, %(hash)s, %(status)s, %(dvid)s, %(err)s)
                ON CONFLICT (s3_bucket, s3_key, content_hash)
                DO UPDATE SET
                    status = EXCLUDED.status,
                    document_version_id = COALESCE(EXCLUDED.document_version_id, document_ingestion_status.document_version_id),
                    error_message = EXCLUDED.error_message,
                    updated_at = now()
                RETURNING id, status, document_version_id
                ]
[parameters: {'bucket': 'doc-repository-dev', 'key': 'filynai.com/Lpathomab/Module 4 Nonclinical Study Reports/4.2 Study Reports/4.2.1 Pharmacology/4.2.1.1 Primary Pharmacodynamics/Efficacy of anti-LPA mAbs B3 and LT3114 in a rat model of acute inflammatory pain.pdf', 'version_id': 'BXQlAMRsgnPXvD_yJ4fzKl5cSdXG7.6C', 'hash': '28b492227f659a97dc5b9e460d298564aedc09895633157d43558e02e610b7ea', 'status': 'failed', 'dvid': None, 'err': 'IntegrityError: (psycopg2.errors.NotNullViolation) null value in column ""content"" of relation ""documents"" violates not-null constraint\nDETAIL:  Fail ... (478 characters truncated) ... ficacy of anti-LPA mAbs B3 and LT3114 in a rat model of acute inflammatory pain.pdf\'}]\n(Background on this error at: https://sqlalche.me/e/20/gkpj)'}]
(Background on this error at: https://sqlalche.me/e/20/2j85)",0.758,,True,failed,ResourceClosedError: This result object does not return rows. It has been closed automatically.,0.347,,
filynai.com/Lpathomab/Module 4 Nonclinical Study Reports/4.2 Study Reports/4.2.1 Pharmacology/4.2.1.1 Primary Pharmacodynamics/Efficacy of murine anti-LPA Ab in the STZ rat model of type 1 diabetes – Preliminary Study.pdf,qbPwGlnLmHAL4b7aOzv6w8Rbq2_nxkvI,2025-11-19T02:57:44+00:00,False,False,False,True,failed,"InternalError: (psycopg2.errors.InFailedSqlTransaction) current transaction is aborted, commands ignored until end of transaction block

[SQL: 
                INSERT INTO document_ingestion_status (
                    s3_bucket, s3_key, s3_version_id,
                    content_hash, status, document_version_id, error_message
                )
                VALUES (%(bucket)s, %(key)s, %(version_id)s, %(hash)s, %(status)s, %(dvid)s, %(err)s)
                ON CONFLICT (s3_bucket, s3_key, content_hash)
                DO UPDATE SET
                    status = EXCLUDED.status,
                    document_version_id = COALESCE(EXCLUDED.document_version_id, document_ingestion_status.document_version_id),
                    error_message = EXCLUDED.error_message,
                    updated_at = now()
                RETURNING id, status, document_version_id
                ]
[parameters: {'bucket': 'doc-repository-dev', 'key': 'filynai.com/Lpathomab/Module 4 Nonclinical Study Reports/4.2 Study Reports/4.2.1 Pharmacology/4.2.1.1 Primary Pharmacodynamics/Efficacy of murine anti-LPA Ab in the STZ rat model of type 1 diabetes – Preliminary Study.pdf', 'version_id': 'qbPwGlnLmHAL4b7aOzv6w8Rbq2_nxkvI', 'hash': '3070c9efcf5c26c934e14a84256afe3e8f15d3f4082cd89a984e829ce21f81d6', 'status': 'failed', 'dvid': None, 'err': 'IntegrityError: (psycopg2.errors.NotNullViolation) null value in column ""content"" of relation ""documents"" violates not-null constraint\nDETAIL:  Fail ... (487 characters truncated) ...  murine anti-LPA Ab in the STZ rat model of type 1 diabetes – Preliminary Study.pdf\'}]\n(Background on this error at: https://sqlalche.me/e/20/gkpj)'}]
(Background on this error at: https://sqlalche.me/e/20/2j85)",0.686,,True,failed,ResourceClosedError: This result object does not return rows. It has been closed automatically.,0.605,,
filynai.com/Lpathomab/Module 4 Nonclinical Study Reports/4.2 Study Reports/4.2.1 Pharmacology/4.2.1.1 Primary Pharmacodynamics/Efficacy of murine anti-LPA Ab in the STZ rat model of type 1 diabetes_ Repeat Dose Study.pdf,1DB5QNMmb77wn8cjycJ.l16YYTzfsggs,2025-11-19T02:57:20+00:00,False,False,False,True,failed,"InternalError: (psycopg2.errors.InFailedSqlTransaction) current transaction is aborted, commands ignored until end of transaction block

[SQL: 
                INSERT INTO document_ingestion_status (
                    s3_bucket, s3_key, s3_version_id,
                    content_hash, status, document_version_id, error_message
                )
                VALUES (%(bucket)s, %(key)s, %(version_id)s, %(hash)s, %(status)s, %(dvid)s, %(err)s)
                ON CONFLICT (s3_bucket, s3_key, content_hash)
                DO UPDATE SET
                    status = EXCLUDED.status,
                    document_version_id = COALESCE(EXCLUDED.document_version_id, document_ingestion_status.document_version_id),
                    error_message = EXCLUDED.error_message,
                    updated_at = now()
                RETURNING id, status, document_version_id
                ]
[parameters: {'bucket': 'doc-repository-dev', 'key': 'filynai.com/Lpathomab/Module 4 Nonclinical Study Reports/4.2 Study Reports/4.2.1 Pharmacology/4.2.1.1 Primary Pharmacodynamics/Efficacy of murine anti-LPA Ab in the STZ rat model of type 1 diabetes_ Repeat Dose Study.pdf', 'version_id': '1DB5QNMmb77wn8cjycJ.l16YYTzfsggs', 'hash': 'd992ea778623072a6c7d7f2603722c52aff5d6f758c21d9e2e79aa3bab1e6bf2', 'status': 'failed', 'dvid': None, 'err': 'IntegrityError: (psycopg2.errors.NotNullViolation) null value in column ""content"" of relation ""documents"" violates not-null constraint\nDETAIL:  Fail ... (486 characters truncated) ... f murine anti-LPA Ab in the STZ rat model of type 1 diabetes_ Repeat Dose Study.pdf\'}]\n(Background on this error at: https://sqlalche.me/e/20/gkpj)'}]
(Background on this error at: https://sqlalche.me/e/20/2j85)",1.112,,True,failed,ResourceClosedError: This result object does not return rows. It has been closed automatically.,0.548,,
filynai.com/Lpathomab/Module 4 Nonclinical Study Reports/4.2 Study Reports/4.2.1 Pharmacology/4.2.1.1 Primary Pharmacodynamics/Efficacy of murine anti-LPA mAb B3 in a mouse model of paclitaxel-induced peripheral neuropathy.pdf,at03bqM1lV_KS1lKSLR7.SKEvKP3svrb,2025-11-19T02:57:19+00:00,False,False,False,True,failed,"InternalError: (psycopg2.errors.InFailedSqlTransaction) current transaction is aborted, commands ignored until end of transaction block

[SQL: 
                INSERT INTO document_ingestion_status (
                    s3_bucket, s3_key, s3_version_id,
                    content_hash, status, document_version_id, error_message
                )
                VALUES (%(bucket)s, %(key)s, %(version_id)s, %(hash)s, %(status)s, %(dvid)s, %(err)s)
                ON CONFLICT (s3_bucket, s3_key, content_hash)
                DO UPDATE SET
                    status = EXCLUDED.status,
                    document_version_id = COALESCE(EXCLUDED.document_version_id, document_ingestion_status.document_version_id),
                    error_message = EXCLUDED.error_message,
                    updated_at = now()
                RETURNING id, status, document_version_id
                ]
[parameters: {'bucket': 'doc-repository-dev', 'key': 'filynai.com/Lpathomab/Module 4 Nonclinical Study Reports/4.2 Study Reports/4.2.1 Pharmacology/4.2.1.1 Primary Pharmacodynamics/Efficacy of murine anti-LPA mAb B3 in a mouse model of paclitaxel-induced peripheral neuropathy.pdf', 'version_id': 'at03bqM1lV_KS1lKSLR7.SKEvKP3svrb', 'hash': '3f92e395426ed52b83d7427a0c7b09a8e69ba926069aa0a8584b7dbf75ad6a34', 'status': 'failed', 'dvid': None, 'err': 'IntegrityError: (psycopg2.errors.NotNullViolation) null value in column ""content"" of relation ""documents"" violates not-null constraint\nDETAIL:  Fail ... (492 characters truncated) ... ne anti-LPA mAb B3 in a mouse model of paclitaxel-induced peripheral neuropathy.pdf\'}]\n(Background on this error at: https://sqlalche.me/e/20/gkpj)'}]
(Background on this error at: https://sqlalche.me/e/20/2j85)",0.969,,True,failed,ResourceClosedError: This result object does not return rows. It has been closed automatically.,0.578,,
filynai.com/Lpathomab/Module 4 Nonclinical Study Reports/4.2 Study Reports/4.2.1 Pharmacology/4.2.1.1 Primary Pharmacodynamics/Evaluation of 1023 and 3114 Using the Tail-Flick Test in the Mouse.pdf,Q4TQMCEFNoTEIAi8bR1klHZ3OgWauKaR,2025-11-19T02:57:20+00:00,False,False,False,True,failed,"InternalError: (psycopg2.errors.InFailedSqlTransaction) current transaction is aborted, commands ignored until end of transaction block

[SQL: 
                INSERT INTO document_ingestion_status (
                    s3_bucket, s3_key, s3_version_id,
                    content_hash, status, document_version_id, error_message
                )
                VALUES (%(bucket)s, %(key)s, %(version_id)s, %(hash)s, %(status)s, %(dvid)s, %(err)s)
                ON CONFLICT (s3_bucket, s3_key, content_hash)
                DO UPDATE SET
                    status = EXCLUDED.status,
                    document_version_id = COALESCE(EXCLUDED.document_version_id, document_ingestion_status.document_version_id),
                    error_message = EXCLUDED.error_message,
                    updated_at = now()
                RETURNING id, status, document_version_id
                ]
[parameters: {'bucket': 'doc-repository-dev', 'key': 'filynai.com/Lpathomab/Module 4 Nonclinical Study Reports/4.2 Study Reports/4.2.1 Pharmacology/4.2.1.1 Primary Pharmacodynamics/Evaluation of 1023 and 3114 Using the Tail-Flick Test in the Mouse.pdf', 'version_id': 'Q4TQMCEFNoTEIAi8bR1klHZ3OgWauKaR', 'hash': '2da647085c48c74eacb498ed2a69294435fda496ade74b8111e9f336368702e4', 'status': 'failed', 'dvid': None, 'err': 'IntegrityError: (psycopg2.errors.NotNullViolation) null value in column ""content"" of relation ""documents"" violates not-null constraint\nDETAIL:  Fail ... (463 characters truncated) ... \'title\': \'Evaluation of 1023 and 3114 Using the Tail-Flick Test in the Mouse.pdf\'}]\n(Background on this error at: https://sqlalche.me/e/20/gkpj)'}]
(Background on this error at: https://sqlalche.me/e/20/2j85)",1.135,,True,failed,ResourceClosedError: This result object does not return rows. It has been closed automatically.,1.018,,
